"id","title","url","tags","post_date","scrap_date","content"
78208480,"serverless-offline module --> Cannot use import statement outside a module","https://stackoverflow.com/questions/78208480/serverless-offline-module-cannot-use-import-statement-outside-a-module","{aws-lambda,serverless-framework,es6-modules,commonjs}","2024-03-22 19:30:03+02","2024-05-17 04:47:11.489492+03","I am currently developing a simple lambda function using node js with serverless yml templates My project is using typescript and tsconfig is set to ESNext target version along with ESnext module as seen below The package jsons type is also set to module along with requiring node version to be 20 0 0 As you can see from devDependencies it does require serverlessoffline However when the function is running locally using serverlessoffline the following error was hit [ [UserFunction js error][1]][1] I already tried to compile everything into commonJs and that did not work any better Not sure why this is the case Has anyone who used serverless ran into this problem before Edit Tried to change the moduleResolution and module to NodeNext However the following error is encountered Not sure why that would be the case This is the same error I ran into when I set the module to commonJs I checked the file in question UserFunction js It is written with commonJs format and I can also see a module exports load defined [1] httpsi stack imgur comEvo66 png"
78269495,"executablePath error in puppeteer to launch a lambda function","https://stackoverflow.com/questions/78269495/executablepath-error-in-puppeteer-to-launch-a-lambda-function","{aws-lambda,puppeteer,chromium,serverless-framework}","2024-04-03 17:37:28+03","2024-05-17 04:47:12.292369+03","I have encountred a problem in my sst app where i wanted to launch a puppeteer lambda function these are my installed dependencies But i have got Error The input directory vartaskpackagesfunctionsbin does not exist in the deployment "
78270901,"Allow lambda internet connection inside VPC","https://stackoverflow.com/questions/78270901/allow-lambda-internet-connection-inside-vpc","{aws-lambda,serverless-framework,subnet,aws-nat-gateway}","2024-04-03 23:04:49+03","2024-05-17 04:47:13.192348+03","I have one lambda inside a VPC It has 2 subnets A B I need to call an external api inside the lambda I have been reading about NatGatway and RouteTables but I am not able to provide internet access output from Lambda to the API to the lambda I am using serverless framework Here is my serverless file serverless yml Here are my resources related to VPC and Routing I do not think that all others be needed to solve this trouble routing yml And my vpc yml Thanks in advance 3"
78275367,"Setting up the authorization for AWS Step function using serverless framework","https://stackoverflow.com/questions/78275367/setting-up-the-authorization-for-aws-step-function-using-serverless-framework","{amazon-web-services,yaml,serverless,serverless-framework,aws-step-functions}","2024-04-04 16:45:19+03","2024-05-17 04:47:14.314715+03","serverless yaml This is my serverless yaml file for AWS Step function This step function is working very well without authorizer property But I need to set up the authorizer so if I add the authorizer on step function I cannot get the token like second image submitQuestionnaire ts So how can I solve this issue So to solve this issue I tried to fix the serverless yaml file following this link httpswww serverless compluginsserverlessstepfunctions So I fixed the serverless yaml file like these images serverless yaml 1 serverless yaml 2 And I tried to deploy it on AWS environment But I got this error message error message"
78308917,"Cloudformation error when trying to create a DynamoDB table","https://stackoverflow.com/questions/78308917/cloudformation-error-when-trying-to-create-a-dynamodb-table","{amazon-web-services,amazon-dynamodb,aws-cloudformation,serverless,serverless-framework}","2024-04-11 08:00:39+03","2024-05-17 04:47:15.309348+03","I am struggling to create a DynamoDB table through Cloudformation I am using the Serverless Framework as a layer on top of it but the resource is written with Cloudformation Yaml notation so it should work just as specified in their docs This is the part of my serverless yml to declare the DynamoDB resource but I am getting this error when I try to deploy which is confusing because I cannot define all the attributes in KeySchema only 1 or 2 are allowed Moreover I am following the same syntax as in examples like this httpsdocs aws amazon comAWSCloudFormationlatestUserGuidequickrefdynamodb html Any suggestion on how to fix this"
78311044,"serverless package fails on M1 MacBook","https://stackoverflow.com/questions/78311044/serverless-package-fails-on-m1-macbook","{serverless-framework}","2024-04-11 14:24:26+03","2024-05-17 04:47:16.119171+03","I have installed the serverless framework on my M1 MacBook using brew install serverless followed by sls plugin install n serverlesspythonrequirements I have my serverless yml set up This produces an error for a docker run command that says operation not supported Working through the docker run command it is because it cannot mount one of the directories on the Macbook privatetmpcom apple launchd mPzNbsd4ISListeners I can see that this is a file type Socket I am not sure how to resolve this and get sls package working on my MacBook and should be grateful for any help or advice that can be given "
78316692,"Does serverless framework version 2 supports Node.js version 18 or higher","https://stackoverflow.com/questions/78316692/does-serverless-framework-version-2-supports-node-js-version-18-or-higher","{node.js,amazon-web-services,aws-lambda,serverless-framework}","2024-04-12 13:47:40+03","2024-05-17 04:47:16.860441+03","We got a lambda notification from AWS that follows AWS going to End of Support Life EOL for Node js versions 16 or below after June24 We are currently serverless frameworkVersion 2 in our serverless yml file Does node js 18 or higher version supports version 2 or do we need to upgrade to V3 for the same "
78321535,"Lambda API request to Cognito is timing out","https://stackoverflow.com/questions/78321535/lambda-api-request-to-cognito-is-timing-out","{aws-lambda,amazon-cognito,serverless-framework}","2024-04-13 17:52:55+03","2024-05-17 04:47:18.165241+03","I have a NodeJS application that is trying to create users in my Cognito user pool But this request is timing out the response is a 504 Request Timed Out My current setup is For the VPC I have setup the Route Table for requests to 0 0 0 00 be routed to the NAT gateway The NAT gateways state is Available and set to be Public The Route table has associated the lambdas subnets with this route The Lambda has a security group attached that allows inbound outbound requests for 0 0 0 00 on port 443 The lambda role has a cognito policy attached to it which is as follows I am using the serverlessframework and have set the timeout to be 60 seconds When running this code locally the request successfully completes in under 12 seconds In the code I am instantiating the CognitoIdentityServiceProvider using an IAM user which also has cognito permissions of And the code that I am using to make the request to Cognito is as follows I am not sure if this is relevant but the Lambda is able to successfully communicate with an RDS I would really appreciate any insight into why this request is timing out thank you I have double checked to ensure that the Route table for external calls 0 0 0 00 is becoming routed to the NAT gateway I have checked all the policies for the IAM user Lambda Role and security group to allow traffic from port 443 to 0 0 0 00 "
57906573,"How use Sub function wth GetAtt in serverless?","https://stackoverflow.com/questions/57906573/how-use-sub-function-wth-getatt-in-serverless","{amazon-web-services,aws-cloudformation,serverless-framework}","2019-09-12 12:18:30+03","2024-05-17 05:16:51.933662+03","Consider the following code This gives me en error"
78328630,"Upload file to S3 through AWS API Gateway REST API using serverless.yml","https://stackoverflow.com/questions/78328630/upload-file-to-s3-through-aws-api-gateway-rest-api-using-serverless-yml","{amazon-s3,aws-api-gateway,serverless-framework}","2024-04-15 13:10:53+03","2024-05-17 04:47:18.30339+03","Is there any way to create AWS Api gateway REST API to create an endpoint and add a trigger to upload the file to S3 using serverless yml template without using AWS lambda I have gone through the documentation of serverless framework but not able to find any approach without using lambda "
78351530,"Does AWS Step Functions automatically update IAM role permissions when specifying a resource in Serverless Framework?","https://stackoverflow.com/questions/78351530/does-aws-step-functions-automatically-update-iam-role-permissions-when-specifyin","{amazon-web-services,serverless-framework,aws-step-functions,serverless-framework-step-functions}","2024-04-19 05:34:44+03","2024-05-17 04:47:19.113284+03","I am using the Serverless Framework with the AWS Step Functions plugin to build a state machine for an order checkout flow In one of the states I am trying to publish a message to an Amazon SNS topic Heres the relevant part of my serverless yml file In this configuration I am specifying the Resource as arnawsstatessnspublish which is the ARN for the SNS publish action I did not explicitly create an IAM role for this state machine However when I checked the IAM role associated with the state machine I found that it had the snsPublish permission I also noticed that when I changed the Resource value the permissions in the IAM role were updated accordingly Does AWS Step Functions automatically create and update an IAM role with the necessary permissions when I specify a resource like this in the Serverless Framework Or is there some other mechanism at work here"
78351893,"Serverless Lambda creation with vpc returns Variables/vpc: expected type: String, found: JSONObject","https://stackoverflow.com/questions/78351893/serverless-lambda-creation-with-vpc-returns-variables-vpc-expected-type-string","{amazon-web-services,aws-lambda,serverless-framework,amazon-vpc}","2024-04-19 07:03:16+03","2024-05-17 04:47:20.18699+03","im trying to deploy a simple lambda inside a vpc with serverless framework using this yml and this is returned"
